id,name,categories,difficulty,solved
1513F,"Swapping Problem","brute force;constructive algorithms;data structures;sortings",2500,315
1513E,"Cost Equilibrium","combinatorics;constructive algorithms;math;sortings",2300,655
1513D,"GCD and MST","constructive algorithms;dsu;graphs;greedy;number theory;sortings",2000,2025
1513C,"Add One","dp;matrices",1600,5276
1513B,"AND Sequences","bitmasks;combinatorics;constructive algorithms;math",1400,6445
1513A,"Array and Peaks","constructive algorithms;implementation",800,12623
1512G,"Short Task","brute force;dp;math;number theory",1700,2713
1512F,"Education","brute force;dp;greedy;implementation",1900,2433
1512E,"Permutation by Sum","brute force;greedy;math",1600,4222
1512D,"Corrupted Array","constructive algorithms;data structures;greedy",1200,8874
1512C,"A-B Palindrome","constructive algorithms;implementation;strings",1200,9098
1512B,"Almost Rectangle","implementation",800,15043
1512A,"Spy Detected!","brute force;implementation",800,19664
1511G,"Chips on a Board","bitmasks;brute force;data structures;games;two pointers",2700,209
1511F,"Chainword","data structures;dp;math;matrices;strings",2700,93
1511E,"Colorings and Dominoes","combinatorics;dp;greedy;math",2100,1214
1511D,"Min Cost String","brute force;constructive algorithms;graphs;greedy;strings",1600,5390
1511C,"Yet Another Card Deck","brute force;data structures;implementation;trees",1100,11465
1511B,"GCD Length","constructive algorithms;math;number theory",1100,11589
1511A,"Review Site","greedy",800,16082
1510K,"King's Task","brute force;graphs;implementation",1200,2467
1510J,"Japanese Game","constructive algorithms;math",2700,158
1510I,"Is It Rated?","greedy;interactive;math;probabilities",2700,190
1510H,"Hard Optimization","dp",3200,25
1510G,"Guide","unknown",2100,774
1510F,"Fiber Shape","unknown",2800,12
1510E,"Equilibrium Point /\textbackslash/\textbackslash","unknown",2700,106
1510D,"Digits","dp;math;number theory",2100,888
1510C,"Cactus Not Enough","dfs and similar;graph matchings;graphs",2900,79
1510B,"Button Lock","flows;graph matchings;graphs",2600,340
1510A,"ASCII Automata Art","unknown",3100,75
1506G,"Maximize the Remaining String","brute force;data structures;dp;greedy;strings",2000,2394
1506F,"Triangular Paths","constructive algorithms;graphs;math;shortest paths;sortings",2000,1855
1506E,"Restoring the Permutation","constructive algorithms;implementation",1500,6877
1506D,"Epic Transformation","constructive algorithms;data structures;greedy",1400,9986
1506C,"Double-ended Strings","brute force;implementation;strings",1000,13551
1506B,"Partial Replacement","greedy;implementation",1100,13049
1506A,"Strange Table","math",800,19621
1505I,"Mysterious language again, seriously?","unknown",-1,202
1505H,"L BREAK into program","unknown",-1,230
1505G,"Encoded message","implementation",-1,156
1505F,"Math","math",-1,821
1505E,"Cakewalk","greedy;implementation;shortest paths",-1,1247
1505D,"Xenolith? Hippodrome?","number theory",-1,299
1505C,"Fibonacci Words","implementation",-1,3823
1505B,"DMCA","implementation;number theory",-1,3452
1505A,"Is it rated - 2","implementation;interactive",-1,8382
1504B,"Flip the Bits","constructive algorithms;greedy;implementation;math",1200,10087
1504A,"Déjà Vu","constructive algorithms;strings",800,14068
1503F,"Balance the Cards","constructive algorithms;data structures;divide and conquer;geometry;graphs;implementation",3500,31
1503E,"2-Coloring","combinatorics;dp;math",3100,126
1503D,"Flip the Cards","2-sat;constructive algorithms;data structures;greedy;sortings;two pointers",2600,492
1503C,"Travelling Salesman Problem","binary search;data structures;dp;greedy;shortest paths;sortings;two pointers",2200,1807
1503B,"3-Coloring","constructive algorithms;games;interactive",1700,4379
1503A,"Balance the Bits","constructive algorithms;greedy",1600,7523
1501B,"Napoleon Cake","dp;implementation;sortings",900,10118
1501A,"Alexey and Train","implementation",800,9289
1500F,"Cupboards Jumps","dp",3500,35
1500E,"Subset Trick","binary search;data structures",3300,83
1500D,"Tiles for Bathroom","data structures;sortings;two pointers",2900,155
1500C,"Matrix Sorting","bitmasks;brute force;constructive algorithms;greedy;two pointers",2600,400
1500B,"Two chandeliers","binary search;brute force;chinese remainder theorem;math;number theory",2200,1304
1500A,"Going Home","brute force;hashing;implementation;math",1800,5692
1499G,"Graph Coloring","data structures;graphs;interactive",3100,56
1499F,"Diameter Cuts","combinatorics;dfs and similar;dp;trees",2400,488
1499E,"Chaotic Merge","combinatorics;dp;math;strings",2400,776
1499D,"The Number of Pairs","dp;math;number theory",2100,3024
1499C,"Minimum Grid Path","brute force;data structures;greedy;math",1500,7618
1499B,"Binary Removals","brute force;dp;greedy;implementation",1000,12806
1499A,"Domino on Windowsill","combinatorics;constructive algorithms;math",800,15907
1498F,"Christmas Game","bitmasks;data structures;dfs and similar;dp;games;math;trees",2500,316
1498E,"Two Houses","brute force;graphs;greedy;interactive;sortings",2200,1240
1498D,"Bananas in a Microwave","dfs and similar;dp;graphs;implementation",2200,1578
1498C,"Planar Reflections","brute force;data structures;dp",1600,5533
1498B,"Box Fitting","binary search;bitmasks;data structures;greedy",1300,9169
1498A,"GCD Sum","brute force;math",800,14846
1497E2,"Square-free division (hard version)","data structures;dp;greedy;math;number theory;two pointers",2500,798
1497E1,"Square-free division (easy version)","data structures;dp;greedy;math;number theory;two pointers",1700,4723
1497D,"Genius","bitmasks;dp;graphs;number theory",2500,856
1497C2,"k-LCM (hard version)","constructive algorithms;math",1600,9094
1497C1,"k-LCM (easy version)","constructive algorithms;math",1200,12351
1497B,"M-arrays","constructive algorithms;greedy;math",1200,11394
1497A,"Meximization","brute force;data structures;greedy;sortings",800,16362
1496B,"Max and Mex","math",1100,11502
1496A,"Split it!","brute force;constructive algorithms;greedy;strings",900,13416
1495F,"Squares","constructive algorithms;data structures;dp;graphs;trees",3300,83
1495E,"Qingshan and Daniel","brute force;data structures;greedy;implementation",3200,115
1495D,"BFS Trees","combinatorics;dfs and similar;graphs;math;shortest paths;trees",2600,665
1495C,"Garden of the Sun","constructive algorithms;graphs",2300,1631
1495B,"Let's Go Hiking","games;greedy",1900,4134
1495A,"Diamond Miner","geometry;greedy;math;sortings",1200,11228
1494F,"Delete The Edges","brute force;constructive algorithms;dfs and similar;graphs;implementation",2900,206
1494E,"A-Z Graph","constructive algorithms;data structures;graphs;hashing",2400,1063
1494D,"Dogeforces","constructive algorithms;data structures;dfs and similar;divide and conquer;dsu;greedy;sortings;trees",2300,1681
1494C,"1D Sokoban","binary search;dp;greedy;implementation;two pointers",1900,3695
1494B,"Berland Crossword","bitmasks;brute force;greedy;implementation",1400,9237
1494A,"ABC String","bitmasks;brute force;implementation",900,14389
1493F,"Enchanted Matrix","bitmasks;interactive;number theory",2600,223
1493E,"Enormous XOR","bitmasks;constructive algorithms;greedy;math;strings;two pointers",2600,500
1493D,"GCD of an Array","brute force;data structures;hashing;implementation;math;number theory;sortings;two pointers",2100,2873
1493C,"K-beautiful Strings","binary search;brute force;constructive algorithms;greedy;strings",2000,3089
1493B,"Planet Lapituletti","brute force;implementation",1300,8669
1493A,"Anti-knapsack","constructive algorithms;greedy",800,14634
1492E,"Almost Fault-Tolerant Database","brute force;constructive algorithms;dfs and similar;greedy;implementation",2500,875
1492D,"Genius's Gambit","bitmasks;constructive algorithms;greedy;math",1900,4270
1492C,"Maximum width","binary search;data structures;dp;greedy;two pointers",1500,9089
1492B,"Card Deck","data structures;greedy;math",1100,12418
1492A,"Three swimmers","math",800,16566
1491I,"Ruler Of The Zoo","brute force;data structures",3500,29
1491H,"Yuezheng Ling and Dynamic Tree","data structures;trees",3400,232
1491G,"Switch and Flip","constructive algorithms;graphs;math",2800,361
1491F,"Magnets","binary search;constructive algorithms;interactive",2700,568
1491E,"Fib-tree","brute force;dfs and similar;divide and conquer;number theory;trees",2400,1361
1491D,"Zookeeper and The Infinite Zoo","bitmasks;constructive algorithms;dp;greedy;math",1800,4476
1491C,"Pekora and Trampoline","brute force;data structures;dp;greedy;implementation",1700,5249
1491B,"Minimal Cost","brute force;math",1200,10123
1491A,"K-th Largest Value","brute force;greedy;implementation",800,14253
1490G,"Old Floppy Drive","binary search;data structures;math",1900,3550
1490F,"Equalize the Array","binary search;data structures;greedy;math;sortings",1500,7931
1490E,"Accidental Victory","binary search;data structures;greedy",1400,9360
1490D,"Permutation Transformation","dfs and similar;divide and conquer;implementation",1200,11536
1490C,"Sum of Cubes","binary search;brute force;brute force;math",1100,16022
